layer_count;neurons_per_layer;batch_size;trainable_count;non_trainable_count;loss
1;4;32;17;0.0;73.66944122314453
1;8;32;33;0.0;277.318115234375
1;12;32;49;0.0;277.3970642089844
1;16;32;65;0.0;277.3319396972656
1;20;32;81;0.0;72.50027465820312
2;4;32;37;0.0;1315.933349609375
2;8;32;105;0.0;1.482591986656189
2;12;32;205;0.0;3.5121827125549316
2;16;32;337;0.0;3.578572988510132
2;20;32;501;0.0;1.7896679639816284
3;4;32;57;0.0;73.92650604248047
3;8;32;177;0.0;7.991455078125
3;12;32;361;0.0;2.45584774017334
3;16;32;609;0.0;1.4348387718200684
3;20;32;921;0.0;1.4319132566452026
1;4;64;17;0.0;277.2957458496094
1;8;64;33;0.0;73.74281311035156
1;12;64;49;0.0;72.95250701904297
1;16;64;65;0.0;80.83717346191406
1;20;64;81;0.0;72.87377166748047
2;4;64;37;0.0;19.150772094726562
2;8;64;105;0.0;72.85797882080078
2;12;64;205;0.0;11.25563907623291
2;16;64;337;0.0;0.7890778183937073
2;20;64;501;0.0;3.269629955291748
3;4;64;57;0.0;212.5292205810547
3;8;64;177;0.0;6.884561061859131
3;12;64;361;0.0;1.9290443658828735
3;16;64;609;0.0;3.087388277053833
3;20;64;921;0.0;1.0761380195617676
1;4;96;17;0.0;80.79036712646484
1;8;96;33;0.0;277.2982177734375
1;12;96;49;0.0;72.63105010986328
1;16;96;65;0.0;277.3165588378906
1;20;96;81;0.0;73.94429779052734
2;4;96;37;0.0;24.220571517944336
2;8;96;105;0.0;4.575565338134766
2;12;96;205;0.0;14.101103782653809
2;16;96;337;0.0;2.0950207710266113
2;20;96;501;0.0;2.2741901874542236
3;4;96;57;0.0;35.28038024902344
3;8;96;177;0.0;1.8963894844055176
3;12;96;361;0.0;2.0068817138671875
3;16;96;609;0.0;2.9333345890045166
3;20;96;921;0.0;2.111996650695801
