Time;Input;Output;glbl_monitor[0]
0.0213543642;-1.645448208;0.4438829422;0.2000000477;0
0.0213751979;-1.835258961;0.4020500183;0.2000000477;0
0.0213960316;-1.899999857;0.3328180313;0.2000000477;0
0.0214168653;-1.835258961;0.240904808;0.2000000477;0
0.0214376990;-1.645448208;0.1325743198;0.2000000477;0
0.0214585327;-1.34350276;0.015209198;0.2000000477;0
0.0214793663;-0.9500000477;-0.1031923294;0.2000000477;0
0.0215002000;-0.4917562008;-0.2145617008;0.2000000477;0
0.0215210337;0;-0.3113090992;0.2000000477;0
0.0215418674;0.4917562008;-0.3868412971;0.2000000477;0
0.0215627011;0.9500000477;-0.4360108376;0.2000000477;0
0.0215835348;1.343502998;-0.4554669857;0.2000000477;0
0.0216043685;1.645448208;-0.4438838959;0.2000000477;0
0.0216252021;1.835259199;-0.402050972;0.2000000477;0
0.0216460358;1.900000095;-0.332818985;0.2000000477;0
0.0216668695;1.835259199;-0.2409057617;0.2000000477;0
0.0216877032;1.645448208;-0.1325752735;0.2000000477;0
0.0217085369;1.343502998;-0.01521015167;0.2000000477;0
0.0217293706;0.9500000477;0.1031916142;0.2000000477;0
0.0217502043;0.4917562008;0.214561224;0.2000000477;0
0.0217710380;0;0.3113088608;0.2000000477;0
0.0217918716;-0.4917562008;0.3868412971;0.2000000477;0
0.0218127053;-0.9500000477;0.436011076;0.2000000477;0
0.0218335390;-1.34350276;0.4554674625;0.2000000477;0
0.0218543727;-1.645448208;0.4438846111;0.2000000477;0
0.0218752064;-1.835258961;0.4020519257;0.2000000477;0
0.0218960401;-1.899999857;0.3328201771;0.2000000477;0
0.0219168738;-1.835258961;0.2409071922;0.2000000477;0
0.0219377074;-1.645448208;0.1325769424;0.2000000477;0
0.0219585411;-1.34350276;0.0152118206;0.2000000477;0
0.0219793748;-0.9500000477;-0.1031899452;0.2000000477;0
0.0220002085;-0.4917562008;-0.2145595551;0.2000000477;0
0.0220210422;0;-0.3113071918;0.2000000477;0
0.0220418759;0.4917562008;-0.3868396282;0.2000000477;0
0.0220627096;0.9500000477;-0.436009407;0.2000000477;0
0.0220835432;1.343502998;-0.4554657936;0.2000000477;0
0.0221043769;1.645448208;-0.4438829422;0.2000000477;0
0.0221252106;1.835259199;-0.4020502567;0.2000000477;0
0.0221460443;1.900000095;-0.3328185081;0.2000000477;0
0.0221668780;1.835259199;-0.2409055233;0.2000000477;0
0.0221877117;1.645448208;-0.1325752735;0.2000000477;0
0.0222085454;1.343502998;-0.01521039009;0.2000000477;0
0.0222293790;0.9500000477;0.1031911373;0.2000000477;0
0.0222502127;0.4917562008;0.2145605087;0.2000000477;0
0.0222710464;0;0.3113079071;0.2000000477;0
0.0222918801;-0.4917562008;0.3868401051;0.2000000477;0
0.0223127138;-0.9500000477;0.4360096455;0.2000000477;0
0.0223335475;-1.34350276;0.4554657936;0.2000000477;0
0.0223543812;-1.645448208;0.4438827038;0.2000000477;0
0.0223752148;-1.835258961;0.4020497799;0.2000000477;0
0.0223960485;-1.899999857;0.3328177929;0.2000000477;0
0.0224168822;-1.835258961;0.2409045696;0.2000000477;0
0.0224377159;-1.645448208;0.1325740814;0.2000000477;0
0.0224585496;-1.34350276;0.01520895958;0.2000000477;0
0.0224793833;-0.9500000477;-0.1031925678;0.2000000477;0
